,loss
0,3.3980251194125386
1,3.2875476555133374
2,3.4035954926373817
3,3.371444074795625
4,3.2057796847306936
5,3.1342921388177047
6,3.2133526785600752
7,3.1375259144713237
8,3.2112844557888733
9,3.0477880249001053
10,3.0747182795562704
11,3.065219893548448
12,2.9905460152397474
13,2.94264652721442
14,2.8435387409824333
15,2.8223070805607855
16,2.7713026012870308
17,2.913305295998698
18,2.763555298578977
19,2.7567304327058895
20,2.883396327546335
21,2.8728318276444424
22,2.7492339767117056
23,2.6109987095010307
24,2.6569920769508943
25,2.5391438967591387
26,2.60842204079644
27,2.561331465465643
28,2.588558196486289
29,2.567177487168013
30,2.652681559254838
31,2.574294045412882
32,2.462114719873529
33,2.4094587905637566
34,2.341936779812074
35,2.3121711588919287
36,2.272653786397253
37,2.192567101224833
38,2.1315230175823707
39,2.089006105425836
40,2.140012695032718
41,2.136757339102202
42,2.0314172827498704
43,2.023650570226075
44,2.0224128549931524
45,2.025076671678134
46,1.997398333142486
47,1.9641016886174425
48,2.012887064032312
49,2.04219708691787
50,2.0382132180222254
51,2.1003702188325835
52,2.090064812324273
53,2.093212266475548
54,2.0902966687057827
55,2.137218005773598
56,2.1686754697230706
57,2.1658081593783827
58,2.1815028730677093
59,2.0976189391208315
60,2.0355894854318013
61,2.030624451049868
62,2.058291054707881
63,2.030738512945978
64,1.9857299443385152
65,2.0013180864947464
66,2.0112891673301254
67,1.951393833517458
68,1.887731097439522
69,1.826891195512992
70,1.7855976145243417
71,1.7214472390599254
72,1.7169202703087527
73,1.7746703007554192
74,1.7920344341910937
75,1.8403355749030785
76,1.8437982012815772
77,1.8357304089236133
78,1.8649381727424328
79,1.7771536544581306
80,1.8383586762366748
81,1.8593241707835741
82,1.8363620254804423
83,1.7945404638317568
84,1.8179687669343276
85,1.7602635766522774
86,1.7831617699927955
87,1.795898429243687
88,1.8112043442706993
89,1.8505430356690702
90,1.8769258074157071
91,1.8345776936771203
92,1.8507749659123984
93,1.8547652684148057
94,1.8945818441821574
95,1.9109580600812328
96,1.876452219092168
97,1.8432440666077006
98,1.8452708012072458
99,1.8395898906904864
