,loss
0,2.9508305404802937
1,2.924097846691155
2,2.7197351849196774
3,2.6798690459406527
4,2.7055636472365245
5,2.8403698729226985
6,2.7476739805478316
7,2.848489025524354
8,2.7753716874369743
9,2.7435839921603966
10,2.853645650089628
11,2.810199667629486
12,2.864614453899088
13,2.751151697569182
14,2.7183586095820953
15,2.552465506199094
16,2.486376043900358
17,2.523412436819228
18,2.53180798099287
19,2.4134178066314433
20,2.420088232288162
21,2.2840547141007415
22,2.3235985679979883
23,2.2779246282217183
24,2.206568322316259
25,2.2281465486065444
26,2.1124624139120383
27,2.118679462593741
28,2.045743053756702
29,2.0428046138526503
30,1.9655145708582245
31,1.9527583184903048
32,2.022894833394592
33,1.987053779356932
34,1.9868593061322806
35,2.041650060328706
36,1.969870426376305
37,1.9022059096023307
38,1.8523599384559952
39,1.8260782103402946
40,1.8638159339377733
41,1.842381728026706
42,1.8142704167438248
43,1.8021650853595612
44,1.7510539914603267
45,1.8101755504248143
46,1.7483593017479413
47,1.6838340075791631
48,1.7260330585096482
49,1.7666113829024024
50,1.7408093447952102
51,1.6804671491979106
52,1.6672492460552402
53,1.6565650436765194
54,1.5918289927315226
55,1.5541744131738282
56,1.5893051248821672
57,1.5477867244424377
58,1.539975695545483
59,1.54009160411961
60,1.565421617113978
61,1.5933837448330617
62,1.5571678356962302
63,1.5007197375103491
64,1.4826318193307029
65,1.4353465324356565
66,1.385132241351694
67,1.3516686113426835
68,1.3694352840764357
69,1.3613101726006471
70,1.3398384855056804
71,1.3448216953981587
72,1.316061039521334
73,1.3230396431447529
74,1.3411027307508312
75,1.3026651559181313
76,1.3163058052690535
77,1.2923697171811726
78,1.2788655509779894
79,1.2786008404931584
80,1.2675639589339722
81,1.2302315609468077
82,1.2092482156418523
83,1.2019110762001541
84,1.205414108014096
85,1.2191510031008275
86,1.1973523505744184
87,1.177046455603382
88,1.1637366243742966
89,1.162196419823533
90,1.1686205024437466
91,1.1593930564999904
92,1.168201292903413
93,1.1748700658307956
94,1.1810360277067078
95,1.1808004222065918
96,1.160232048863413
97,1.1621756890752135
98,1.1441378780129183
99,1.1450135947717668
