,loss
0,2.4667026940696792
1,2.6394721057911887
2,2.6735666476796376
3,2.6473067229656824
4,2.7489516954368622
5,2.638140090019531
6,2.8192403205180416
7,2.5230631065275877
8,2.501949790501057
9,2.3923146352751097
10,2.428354242012013
11,2.366774610796426
12,2.4225944070854317
13,2.4874487704645185
14,2.3616162967056544
15,2.2922008503818
16,2.1938440347232535
17,2.2850115394465833
18,2.3777206902171284
19,2.294571704593348
20,2.302448377567455
21,2.1776861258612743
22,2.165332796330838
23,2.1590005925294182
24,2.0892713990196428
25,2.0301371162685364
26,1.9983354681081746
27,2.0043982642204834
28,1.9834318744541997
29,2.0128861684028245
30,1.9269230664862296
31,1.8781244885188635
32,1.8570680282064844
33,1.8268546567636321
34,1.852628590431983
35,1.8220538843290908
36,1.8725301228646003
37,1.9308422665795915
38,1.9639328258555713
39,1.8934966605183174
40,1.8127557933260277
41,1.7766987586142204
42,1.7605901180243928
43,1.829455260053873
44,1.8149698876771
45,1.8743337426884714
46,1.8913295031839374
47,1.8372170022653374
48,1.8601797070161354
49,1.860402914922689
50,1.8438130858579838
51,1.7867986602784254
52,1.778589519122697
53,1.7788697038250783
54,1.7124799365585293
55,1.7600705064704447
56,1.7846652843909752
57,1.7356027852199696
58,1.7276105771859662
59,1.6900041034534836
60,1.6895548085149086
61,1.6262008976489288
62,1.6483667438482128
63,1.616674236613545
64,1.563648795898798
65,1.5825161537699788
66,1.5928910901216204
67,1.5743717805007384
68,1.5487377567708767
69,1.57441929961752
70,1.5717914883598383
71,1.5370117188077006
72,1.4887765288077806
73,1.5121871383515408
74,1.5231001488413782
75,1.552026631737183
76,1.5537694069375039
77,1.5397654401662746
78,1.5235362524663871
79,1.5313882239545096
80,1.5024372263986434
81,1.514308903370116
82,1.4989389851369217
83,1.4956919239246809
84,1.5075843264250808
85,1.5183041096444123
86,1.5256284646898088
87,1.5194575663194485
88,1.499273463011579
89,1.4913356787698515
90,1.485598700925962
91,1.486572631200453
92,1.444345356031435
93,1.4351127719472152
94,1.4363643881615613
95,1.420850939632161
96,1.3927632999433681
97,1.4118735196572851
98,1.4519348716467413
99,1.4240955031248383
