,loss
0,3.327288621546224
1,3.612484782271915
2,3.45187935539614
3,3.2478062319973287
4,3.2491714368414395
5,2.908084154528294
6,2.874416422720345
7,2.7432715509580152
8,2.731344267516872
9,2.662317916424945
10,2.598512985163895
11,2.4845675163831076
12,2.5514807211260746
13,2.5537208099672952
14,2.5248857105906652
15,2.4380074303220036
16,2.369157148341857
17,2.2706584765976316
18,2.2036760531526607
19,2.1313258953216936
20,2.1270385143364043
21,2.083052449220886
22,2.0669513126632704
23,1.98797162347896
24,1.9151566802583655
25,1.8217508067241368
26,1.77175339647993
27,1.7110572954738097
28,1.6721518738455974
29,1.6381568900729695
30,1.6295102953691625
31,1.6294518134636258
32,1.5764845824753466
33,1.589064051230389
34,1.5457309781785094
35,1.4943587098885844
36,1.4721694624594923
37,1.45899178726252
38,1.4662693834309177
39,1.463973800052945
40,1.46843962535805
41,1.45085297930106
42,1.4028773860490342
43,1.4031735482425018
44,1.356218634509039
45,1.3340218497331982
46,1.2908232139115943
47,1.2957844170611814
48,1.2857919123540171
49,1.2657238441308765
50,1.2633296472509323
51,1.2244763471205125
52,1.2122773224242063
53,1.2021552350422569
54,1.201659018161694
55,1.1964591663229345
56,1.170906887632567
57,1.1667044473982338
58,1.1410122078937004
59,1.1376203858897211
60,1.1334591564537506
61,1.1451537713434827
62,1.1559448296804233
63,1.1567065338244074
64,1.154863759023592
65,1.1639827274458778
66,1.1615540819203072
67,1.1421897833338421
68,1.1270380673034657
69,1.1238734290566803
70,1.1049463289193913
71,1.1088981248174024
72,1.1052283209503395
73,1.1090292759106004
74,1.1200914588820974
75,1.0961989069973546
76,1.0776962933330794
77,1.0692215636103766
78,1.075695142373656
79,1.0701152660551354
80,1.0511385625462064
81,1.039666050024281
82,1.0333042229835734
83,1.014530224164152
84,1.0308753652169844
85,1.023752919921637
86,1.0163567442268293
87,1.0200412823008564
88,1.030422782096042
89,1.0309097832435539
90,1.0146172302835856
91,1.010426983957129
92,1.02533915297601
93,1.0143077511265717
94,1.0083101773267913
95,1.017252032096502
96,1.0153164787486322
97,0.999640081029416
98,0.9893690436726292
99,0.9726843281113322
